pProb,qProb,replicate,seqLen,aaaa,aaab,aaba,aabb,aabc,abaa,abab,abac,abba,abbb,abbc,abca,abcb,abcc,abcd,label
0.235,0.325,410,1000,0.189,0.073,0.074,0.107,0.056,0.102,0.022,0.028,0.025,0.114,0.03,0.036,0.026,0.096,0.022,1
0.215,0.365,818,1000,0.164,0.093,0.079,0.111,0.079,0.062,0.032,0.037,0.018,0.111,0.054,0.025,0.035,0.079,0.021,0
0.445,0.365,433,1000,0.089,0.081,0.067,0.031,0.057,0.069,0.07,0.084,0.029,0.095,0.066,0.063,0.084,0.062,0.053,0
0.445,0.145,378,1000,0.18,0.035,0.155,0.051,0.039,0.043,0.037,0.024,0.025,0.181,0.031,0.038,0.094,0.042,0.025,0
0.545,0.235,983,1000,0.092,0.122,0.044,0.072,0.075,0.046,0.03,0.048,0.054,0.109,0.11,0.051,0.052,0.063,0.032,0
0.685,0.195,143,1000,0.052,0.028,0.116,0.033,0.06,0.035,0.085,0.052,0.019,0.13,0.055,0.062,0.174,0.052,0.047,0
0.715,0.005,590,1000,0.074,0.002,0.188,0,0.001,0,0.188,0.002,0,0.205,0.002,0.003,0.333,0.001,0.001,0
0.595,0.525,531,1000,0.02,0.043,0.056,0.031,0.089,0.049,0.068,0.103,0.045,0.044,0.086,0.085,0.115,0.084,0.082,0
0.205,0.685,983,1000,0.028,0.075,0.063,0.038,0.092,0.042,0.065,0.093,0.037,0.056,0.082,0.074,0.097,0.086,0.072,0
0.515,0.085,281,1000,0.198,0.198,0.188,0.09,0.168,0.024,0.018,0.016,0.013,0.018,0.015,0.012,0.014,0.015,0.013,1
0.725,0.305,329,1000,0.023,0.039,0.075,0.035,0.066,0.044,0.076,0.08,0.044,0.072,0.074,0.082,0.148,0.076,0.066,0
0.045,0.405,89,1000,0.219,0.138,0.134,0.04,0.057,0.047,0.005,0.022,0.129,0.042,0.057,0.075,0.013,0.013,0.009,0
0.635,0.245,229,1000,0.062,0.026,0.126,0.026,0.042,0.137,0.027,0.046,0.101,0.039,0.048,0.163,0.046,0.056,0.055,1
0.625,0.165,762,1000,0.083,0.135,0.027,0.022,0.039,0.171,0.104,0.181,0.03,0.027,0.036,0.042,0.029,0.033,0.041,1
0.685,0.675,890,1000,0.022,0.041,0.052,0.051,0.095,0.045,0.042,0.085,0.055,0.05,0.087,0.096,0.089,0.105,0.085,0
0.625,0.265,185,1000,0.066,0.045,0.097,0.038,0.06,0.045,0.063,0.045,0.045,0.108,0.069,0.088,0.111,0.064,0.056,0
0.125,0.595,752,1000,0.069,0.09,0.071,0.026,0.047,0.048,0.087,0.094,0.041,0.08,0.096,0.062,0.089,0.058,0.042,0
0.085,0.015,200,1000,0.782,0.013,0.073,0.001,0.001,0.096,0,0,0.014,0.014,0,0.004,0.001,0.001,0,1
0.485,0.685,249,1000,0.024,0.061,0.05,0.039,0.087,0.052,0.051,0.088,0.035,0.053,0.101,0.082,0.089,0.104,0.084,0
0.125,0.425,359,1000,0.16,0.109,0.045,0.021,0.029,0.055,0.128,0.063,0.027,0.111,0.074,0.029,0.088,0.04,0.021,0
0.535,0.425,986,1000,0.034,0.053,0.092,0.047,0.057,0.056,0.065,0.075,0.036,0.077,0.075,0.076,0.129,0.073,0.055,1
0.575,0.375,783,1000,0.053,0.06,0.093,0.039,0.078,0.041,0.096,0.055,0.045,0.076,0.067,0.057,0.119,0.074,0.047,1
0.625,0.635,392,1000,0.016,0.066,0.057,0.045,0.077,0.05,0.053,0.086,0.052,0.059,0.076,0.114,0.087,0.068,0.094,1
0.545,0.105,601,1000,0.153,0.171,0.027,0.015,0.031,0.016,0.017,0.024,0.103,0.181,0.192,0.02,0.016,0.018,0.016,1
0.655,0.615,624,1000,0.014,0.051,0.049,0.027,0.099,0.056,0.047,0.106,0.052,0.046,0.099,0.085,0.096,0.089,0.084,0
0.495,0.505,84,1000,0.035,0.077,0.07,0.074,0.108,0.064,0.041,0.064,0.045,0.061,0.076,0.075,0.057,0.091,0.062,0
0.015,0.255,480,1000,0.436,0.135,0.113,0.01,0.031,0.025,0.164,0.037,0,0.014,0.003,0.004,0.02,0.007,0.001,0
0.235,0.365,858,1000,0.143,0.048,0.073,0.121,0.054,0.122,0.019,0.036,0.019,0.112,0.041,0.043,0.038,0.107,0.024,1
0.215,0.635,690,1000,0.053,0.027,0.127,0.023,0.06,0.025,0.11,0.038,0.018,0.109,0.047,0.042,0.238,0.039,0.044,1
0.445,0.025,607,1000,0.286,0.012,0.207,0.002,0.006,0.242,0.013,0.01,0.064,0.011,0.005,0.122,0.009,0.007,0.004,0
0.225,0.185,348,1000,0.321,0.101,0.091,0.021,0.023,0.091,0.024,0.02,0.081,0.085,0.054,0.039,0.02,0.021,0.008,1
0.595,0.715,388,1000,0.026,0.06,0.038,0.038,0.099,0.058,0.063,0.101,0.034,0.053,0.083,0.093,0.097,0.088,0.069,1
0.525,0.325,309,1000,0.094,0.047,0.092,0.034,0.059,0.054,0.081,0.048,0.03,0.109,0.07,0.059,0.118,0.063,0.042,1
0.395,0.735,109,1000,0.022,0.064,0.033,0.043,0.088,0.088,0.081,0.136,0.044,0.026,0.067,0.079,0.077,0.07,0.082,1
0.005,0.725,989,1000,0.025,0.05,0.05,0.052,0.081,0.045,0.042,0.091,0.041,0.059,0.097,0.086,0.106,0.089,0.086,0
0.695,0.555,472,1000,0.027,0.053,0.054,0.051,0.09,0.045,0.049,0.101,0.035,0.043,0.094,0.084,0.087,0.092,0.095,0
0.605,0.275,570,1000,0.068,0.051,0.048,0.054,0.048,0.112,0.031,0.055,0.055,0.093,0.088,0.07,0.059,0.118,0.05,0
0.635,0.215,487,1000,0.061,0.153,0.037,0.024,0.035,0.031,0.027,0.045,0.091,0.132,0.196,0.039,0.043,0.042,0.044,1
0.375,0.185,889,1000,0.188,0.078,0.057,0.031,0.026,0.122,0.017,0.028,0.082,0.128,0.065,0.062,0.037,0.053,0.026,0
0.155,0.635,6,1000,0.056,0.137,0.017,0.023,0.041,0.122,0.135,0.266,0.018,0.019,0.038,0.03,0.035,0.028,0.035,1
0.465,0.355,59,1000,0.096,0.079,0.099,0.03,0.044,0.061,0.077,0.079,0.034,0.09,0.056,0.054,0.1,0.057,0.044,1
0.625,0.395,263,1000,0.051,0.081,0.043,0.039,0.073,0.046,0.039,0.064,0.076,0.079,0.145,0.075,0.074,0.061,0.054,1
0.385,0.185,34,1000,0.225,0.127,0.052,0.075,0.057,0.141,0.037,0.054,0.02,0.054,0.027,0.033,0.018,0.054,0.026,0
0.375,0.455,653,1000,0.077,0.054,0.072,0.042,0.066,0.076,0.09,0.095,0.039,0.069,0.059,0.057,0.084,0.062,0.058,0
0.275,0.345,927,1000,0.136,0.095,0.074,0.021,0.024,0.084,0.122,0.081,0.029,0.097,0.053,0.04,0.077,0.039,0.028,0
0.025,0.605,358,1000,0.054,0.105,0.045,0.031,0.056,0.044,0.103,0.092,0.05,0.095,0.086,0.051,0.097,0.049,0.042,0
0.195,0.385,994,1000,0.153,0.058,0.134,0.121,0.081,0.098,0.023,0.038,0.022,0.065,0.021,0.05,0.036,0.077,0.023,0
0.545,0.245,281,1000,0.097,0.127,0.045,0.048,0.061,0.047,0.024,0.062,0.049,0.122,0.103,0.042,0.062,0.069,0.042,0
0.085,0.545,480,1000,0.075,0.053,0.11,0.098,0.099,0.06,0.04,0.048,0.028,0.077,0.048,0.038,0.093,0.093,0.04,0
0.025,0.085,86,1000,0.738,0.024,0.065,0.001,0.001,0.013,0.068,0.002,0.002,0.065,0.001,0.002,0.017,0.001,0,1
0.675,0.045,602,1000,0.09,0.194,0.006,0.007,0.01,0.189,0.161,0.27,0.009,0.009,0.006,0.009,0.012,0.011,0.017,1
0.575,0.395,617,1000,0.044,0.055,0.078,0.039,0.072,0.085,0.041,0.067,0.076,0.049,0.075,0.116,0.069,0.072,0.062,1
0.525,0.745,811,1000,0.018,0.034,0.067,0.037,0.086,0.052,0.039,0.072,0.055,0.057,0.104,0.117,0.087,0.083,0.092,1
0.535,0.445,364,1000,0.048,0.075,0.048,0.04,0.062,0.072,0.087,0.101,0.027,0.061,0.065,0.076,0.09,0.071,0.077,1
0.555,0.385,795,1000,0.048,0.085,0.073,0.052,0.094,0.049,0.059,0.086,0.043,0.062,0.055,0.078,0.089,0.062,0.065,0
0.075,0.335,249,1000,0.261,0.048,0.153,0.121,0.062,0.128,0.009,0.016,0.017,0.047,0.007,0.041,0.017,0.057,0.016,0
0.635,0.565,499,1000,0.029,0.039,0.033,0.059,0.099,0.061,0.044,0.086,0.041,0.047,0.087,0.078,0.089,0.103,0.105,1
0.475,0.635,202,1000,0.018,0.078,0.052,0.037,0.093,0.05,0.045,0.073,0.057,0.065,0.111,0.081,0.083,0.068,0.089,1
0.565,0.345,89,1000,0.083,0.054,0.051,0.036,0.058,0.081,0.036,0.062,0.078,0.087,0.075,0.098,0.068,0.084,0.049,0
0.025,0.635,809,1000,0.052,0.055,0.041,0.055,0.058,0.094,0.089,0.082,0.033,0.079,0.06,0.055,0.097,0.088,0.062,0
0.735,0.215,325,1000,0.043,0.024,0.092,0.024,0.053,0.104,0.036,0.073,0.1,0.029,0.066,0.181,0.063,0.052,0.06,0
0.735,0.015,503,1000,0.06,0.001,0.18,0.002,0.006,0.177,0.001,0.001,0.186,0.002,0.003,0.364,0.009,0.005,0.003,1
0.215,0.525,102,1000,0.072,0.038,0.136,0.026,0.042,0.136,0.019,0.04,0.115,0.033,0.035,0.178,0.053,0.038,0.039,1
0.285,0.395,48,1000,0.097,0.102,0.083,0.077,0.106,0.095,0.028,0.057,0.021,0.06,0.044,0.056,0.05,0.082,0.042,0
0.385,0.005,482,1000,0.375,0.002,0,0.055,0,0.219,0,0.001,0.004,0.233,0.002,0.001,0.002,0.106,0,1
0.375,0.285,545,1000,0.148,0.056,0.1,0.102,0.069,0.098,0.023,0.054,0.035,0.07,0.035,0.069,0.041,0.068,0.032,0
0.395,0.525,868,1000,0.049,0.056,0.08,0.045,0.074,0.062,0.078,0.097,0.035,0.05,0.057,0.057,0.109,0.072,0.079,0
0.155,0.035,885,1000,0.652,0.118,0.106,0.009,0.02,0.029,0.019,0.006,0.003,0.024,0.003,0.003,0.006,0.002,0,0
0.405,0.675,854,1000,0.038,0.082,0.036,0.037,0.067,0.047,0.034,0.066,0.077,0.095,0.145,0.079,0.062,0.063,0.072,1
0.505,0.335,409,1000,0.072,0.071,0.09,0.074,0.084,0.065,0.039,0.066,0.031,0.085,0.065,0.058,0.084,0.071,0.045,0
0.605,0.505,56,1000,0.033,0.053,0.065,0.052,0.087,0.043,0.065,0.107,0.046,0.046,0.086,0.077,0.099,0.074,0.067,0
0.175,0.555,732,1000,0.066,0.093,0.078,0.042,0.09,0.052,0.025,0.05,0.096,0.061,0.102,0.099,0.044,0.054,0.048,0
0.325,0.195,514,1000,0.208,0.141,0.071,0.022,0.027,0.073,0.026,0.028,0.088,0.129,0.072,0.038,0.025,0.035,0.017,1
0.495,0.725,879,1000,0.025,0.041,0.03,0.068,0.087,0.047,0.041,0.08,0.047,0.06,0.104,0.082,0.09,0.127,0.071,1
0.745,0.275,448,1000,0.035,0.035,0.089,0.042,0.069,0.035,0.077,0.068,0.038,0.065,0.064,0.079,0.173,0.072,0.059,0
0.355,0.645,638,1000,0.033,0.065,0.038,0.045,0.09,0.048,0.062,0.092,0.048,0.058,0.108,0.072,0.09,0.072,0.079,0
0.095,0.355,29,1000,0.234,0.135,0.034,0.013,0.016,0.034,0.015,0.018,0.14,0.154,0.143,0.026,0.012,0.015,0.011,1
0.125,0.065,612,1000,0.588,0.097,0.046,0.002,0.007,0.052,0.006,0.007,0.056,0.103,0.016,0.005,0.008,0.007,0,1
0.185,0.275,873,1000,0.24,0.124,0.082,0.018,0.029,0.092,0.018,0.035,0.117,0.063,0.062,0.057,0.02,0.026,0.017,0
0.565,0.545,652,1000,0.02,0.055,0.046,0.042,0.085,0.052,0.067,0.103,0.034,0.064,0.078,0.077,0.101,0.1,0.076,0
0.225,0.725,176,1000,0.021,0.052,0.041,0.047,0.081,0.058,0.054,0.094,0.036,0.061,0.093,0.08,0.081,0.097,0.104,0
0.735,0.435,476,1000,0.027,0.052,0.039,0.044,0.076,0.075,0.067,0.129,0.053,0.029,0.077,0.08,0.094,0.073,0.085,1
0.085,0.455,892,1000,0.129,0.051,0.111,0.019,0.042,0.124,0.122,0.082,0.02,0.046,0.035,0.077,0.086,0.026,0.03,0
0.165,0.055,603,1000,0.598,0.026,0.129,0.005,0.005,0.127,0.003,0.006,0.03,0.037,0.004,0.019,0.004,0.004,0.003,1
0.525,0.565,730,1000,0.042,0.051,0.059,0.036,0.078,0.072,0.031,0.083,0.06,0.057,0.083,0.092,0.092,0.086,0.078,0
0.055,0.605,294,1000,0.088,0.184,0.009,0.006,0.01,0.161,0.167,0.299,0.003,0.008,0.012,0.011,0.013,0.018,0.011,1
0.315,0.705,945,1000,0.019,0.039,0.045,0.049,0.096,0.058,0.052,0.093,0.058,0.065,0.093,0.081,0.093,0.071,0.088,0
0.555,0.195,462,1000,0.108,0.159,0.145,0.096,0.161,0.033,0.023,0.034,0.02,0.036,0.033,0.045,0.04,0.031,0.036,1
0.745,0.105,34,1000,0.061,0.146,0.148,0.142,0.288,0.016,0.017,0.018,0.012,0.017,0.025,0.029,0.022,0.029,0.03,1
0.595,0.605,931,1000,0.027,0.049,0.038,0.033,0.084,0.056,0.042,0.093,0.059,0.053,0.087,0.114,0.088,0.078,0.099,1
0.085,0.655,497,1000,0.057,0.155,0.009,0.012,0.032,0.16,0.159,0.287,0.006,0.012,0.026,0.023,0.023,0.024,0.015,1
0.495,0.315,303,1000,0.087,0.071,0.059,0.051,0.042,0.096,0.033,0.048,0.066,0.117,0.084,0.078,0.057,0.06,0.051,0
0.005,0.215,498,1000,0.475,0.011,0.126,0.138,0.029,0.13,0.002,0.004,0.01,0.016,0.004,0.024,0.002,0.027,0.002,0
0.155,0.685,547,1000,0.031,0.075,0.04,0.058,0.095,0.046,0.035,0.07,0.048,0.068,0.125,0.077,0.072,0.088,0.072,0
0.025,0.555,513,1000,0.105,0.002,0.186,0.005,0.004,0.183,0,0.005,0.162,0.006,0.006,0.313,0.006,0.01,0.007,1
0.385,0.255,158,1000,0.166,0.12,0.13,0.093,0.072,0.059,0.026,0.046,0.028,0.062,0.035,0.051,0.029,0.06,0.023,1
0.305,0.095,235,1000,0.335,0.044,0.168,0.01,0.015,0.181,0.018,0.013,0.064,0.041,0.016,0.06,0.009,0.019,0.007,1
0.415,0.575,232,1000,0.036,0.04,0.056,0.043,0.084,0.061,0.072,0.098,0.039,0.073,0.064,0.077,0.109,0.072,0.076,0
0.485,0.425,545,1000,0.054,0.066,0.075,0.045,0.058,0.054,0.077,0.103,0.03,0.08,0.071,0.072,0.085,0.069,0.061,1
0.685,0.505,76,1000,0.032,0.053,0.057,0.047,0.077,0.069,0.044,0.078,0.032,0.069,0.088,0.084,0.09,0.104,0.076,1
0.365,0.335,501,1000,0.131,0.098,0.082,0.087,0.081,0.075,0.033,0.05,0.033,0.069,0.045,0.04,0.048,0.09,0.038,1
0.285,0.365,712,1000,0.134,0.071,0.091,0.031,0.042,0.094,0.032,0.042,0.111,0.08,0.058,0.092,0.034,0.053,0.035,1
0.715,0.045,25,1000,0.077,0.01,0.183,0.006,0.008,0.165,0.008,0.01,0.171,0.007,0.014,0.312,0.007,0.008,0.014,1
0.435,0.685,951,1000,0.023,0.077,0.038,0.039,0.082,0.073,0.08,0.116,0.042,0.035,0.082,0.067,0.078,0.079,0.089,1
0.125,0.075,698,1000,0.622,0.049,0.091,0.004,0.002,0.089,0.047,0.009,0.009,0.058,0.001,0.007,0.008,0.003,0.001,0
0.135,0.545,848,1000,0.083,0.03,0.02,0.128,0.032,0.14,0.01,0.031,0.016,0.153,0.026,0.034,0.023,0.245,0.029,1
0.125,0.555,306,1000,0.074,0.088,0.048,0.028,0.042,0.106,0.037,0.088,0.096,0.051,0.109,0.096,0.038,0.058,0.041,0
0.515,0.685,149,1000,0.02,0.065,0.047,0.036,0.08,0.058,0.051,0.09,0.049,0.038,0.1,0.086,0.106,0.089,0.085,0
0.405,0.025,925,1000,0.348,0.01,0.242,0.006,0.006,0.225,0.005,0.008,0.043,0.007,0.004,0.088,0.005,0.002,0.001,0
0.735,0.095,116,1000,0.05,0.021,0.143,0.012,0.042,0.146,0.012,0.043,0.131,0.014,0.034,0.259,0.035,0.019,0.039,0
0.715,0.065,902,1000,0.059,0.008,0.011,0.162,0.019,0.169,0.012,0.031,0.008,0.166,0.016,0.03,0.017,0.278,0.014,0
0.325,0.345,324,1000,0.133,0.09,0.073,0.029,0.04,0.085,0.097,0.09,0.034,0.093,0.038,0.039,0.081,0.044,0.034,1
0.515,0.615,173,1000,0.027,0.053,0.052,0.052,0.076,0.042,0.034,0.082,0.057,0.057,0.111,0.093,0.095,0.088,0.081,0
0.035,0.225,851,1000,0.443,0.153,0.035,0.005,0.003,0.112,0.012,0.032,0.114,0.019,0.032,0.029,0.001,0.005,0.005,0
0.195,0.155,631,1000,0.399,0.095,0.086,0.012,0.008,0.085,0.096,0.042,0.01,0.092,0.019,0.006,0.03,0.009,0.011,0
0.735,0.135,41,1000,0.053,0.143,0.131,0.107,0.244,0.021,0.027,0.034,0.022,0.029,0.043,0.036,0.036,0.037,0.037,0
0.645,0.425,760,1000,0.033,0.086,0.048,0.026,0.073,0.063,0.077,0.141,0.043,0.043,0.059,0.077,0.072,0.079,0.08,1
0.515,0.225,5,1000,0.108,0.038,0.133,0.032,0.037,0.042,0.09,0.041,0.026,0.13,0.056,0.053,0.139,0.047,0.028,1
0.605,0.115,180,1000,0.097,0.167,0.025,0.035,0.042,0.034,0.02,0.024,0.094,0.163,0.173,0.027,0.029,0.037,0.033,0
0.135,0.115,908,1000,0.523,0.08,0.076,0.005,0.006,0.076,0.069,0.022,0.006,0.077,0.008,0.008,0.031,0.011,0.002,0
0.085,0.335,874,1000,0.245,0.129,0.127,0.02,0.053,0.042,0.13,0.065,0.014,0.05,0.024,0.014,0.058,0.013,0.016,0
0.535,0.115,151,1000,0.151,0.028,0.022,0.099,0.016,0.177,0.014,0.024,0.02,0.198,0.018,0.02,0.019,0.183,0.011,1
0.535,0.465,353,1000,0.048,0.05,0.065,0.077,0.1,0.069,0.049,0.073,0.035,0.067,0.062,0.059,0.08,0.103,0.063,1
0.185,0.635,929,1000,0.035,0.067,0.043,0.081,0.112,0.05,0.034,0.07,0.033,0.075,0.095,0.063,0.066,0.103,0.073,0
0.535,0.435,387,1000,0.04,0.073,0.064,0.041,0.065,0.077,0.039,0.08,0.079,0.054,0.086,0.102,0.058,0.087,0.055,0
0.705,0.365,326,1000,0.032,0.045,0.084,0.025,0.07,0.034,0.078,0.076,0.03,0.076,0.076,0.064,0.178,0.068,0.064,1
0.095,0.485,487,1000,0.126,0.163,0.165,0.167,0.209,0.017,0.007,0.018,0.016,0.019,0.025,0.018,0.013,0.024,0.013,1
0.335,0.505,91,1000,0.055,0.05,0.055,0.079,0.068,0.099,0.031,0.067,0.034,0.086,0.06,0.063,0.053,0.146,0.054,1
0.225,0.295,9,1000,0.213,0.098,0.11,0.123,0.085,0.074,0.022,0.034,0.015,0.07,0.022,0.036,0.03,0.048,0.02,1
0.145,0.395,381,1000,0.166,0.12,0.065,0.109,0.081,0.118,0.019,0.055,0.025,0.052,0.032,0.033,0.023,0.078,0.024,0
0.625,0.495,975,1000,0.026,0.059,0.054,0.033,0.069,0.061,0.04,0.087,0.056,0.054,0.094,0.104,0.088,0.082,0.093,0
0.715,0.275,794,1000,0.044,0.04,0.144,0.02,0.046,0.11,0.036,0.048,0.083,0.029,0.036,0.196,0.062,0.055,0.051,1
0.355,0.545,788,1000,0.049,0.065,0.063,0.041,0.059,0.078,0.076,0.112,0.048,0.07,0.059,0.068,0.081,0.072,0.059,0
0.095,0.235,744,1000,0.393,0.039,0.119,0.007,0.019,0.05,0.014,0.005,0.129,0.113,0.034,0.042,0.017,0.012,0.007,0
0.585,0.005,769,1000,0.184,0.224,0.001,0,0.003,0.002,0.003,0.001,0.115,0.241,0.22,0.003,0.001,0.001,0.001,1
0.665,0.395,477,1000,0.034,0.047,0.077,0.039,0.065,0.034,0.093,0.071,0.038,0.089,0.061,0.058,0.158,0.063,0.073,1
0.655,0.625,351,1000,0.016,0.046,0.057,0.045,0.106,0.055,0.032,0.087,0.05,0.047,0.091,0.096,0.105,0.075,0.092,0
0.215,0.295,20,1000,0.219,0.067,0.112,0.024,0.02,0.105,0.027,0.04,0.111,0.053,0.051,0.084,0.039,0.018,0.03,1
0.435,0.305,139,1000,0.1,0.078,0.108,0.088,0.075,0.083,0.031,0.051,0.033,0.083,0.053,0.041,0.068,0.074,0.034,0
0.585,0.525,12,1000,0.028,0.058,0.044,0.047,0.083,0.062,0.032,0.079,0.056,0.057,0.089,0.103,0.089,0.089,0.084,1
0.355,0.395,912,1000,0.096,0.061,0.084,0.027,0.065,0.067,0.094,0.09,0.026,0.077,0.05,0.051,0.099,0.053,0.06,1
0.035,0.505,76,1000,0.101,0.009,0.182,0.003,0.006,0.005,0.203,0.008,0.006,0.192,0.011,0.009,0.25,0.008,0.007,1
0.155,0.495,980,1000,0.091,0.065,0.09,0.105,0.107,0.05,0.039,0.039,0.027,0.101,0.042,0.046,0.061,0.1,0.037,0
0.235,0.565,677,1000,0.053,0.079,0.054,0.045,0.055,0.094,0.025,0.063,0.084,0.072,0.106,0.084,0.058,0.071,0.057,0
0.375,0.275,947,1000,0.147,0.106,0.065,0.025,0.044,0.07,0.033,0.047,0.093,0.104,0.092,0.061,0.039,0.045,0.029,1
0.345,0.005,427,1000,0.45,0.004,0.006,0.043,0,0.212,0.001,0,0.001,0.205,0,0.002,0,0.076,0,1
0.315,0.035,129,1000,0.443,0.193,0.017,0.005,0.002,0.173,0.038,0.073,0.005,0.025,0.007,0.009,0.001,0.008,0.001,1
0.085,0.625,323,1000,0.042,0.044,0.09,0.091,0.1,0.045,0.047,0.046,0.031,0.087,0.056,0.062,0.104,0.092,0.063,0
0.165,0.545,382,1000,0.061,0.098,0.095,0.041,0.082,0.058,0.108,0.102,0.032,0.046,0.035,0.059,0.101,0.045,0.037,0
0.595,0.175,277,1000,0.098,0.032,0.153,0.027,0.037,0.042,0.089,0.035,0.02,0.164,0.034,0.031,0.171,0.035,0.032,1
0.335,0.445,165,1000,0.08,0.079,0.059,0.086,0.074,0.075,0.03,0.046,0.034,0.105,0.057,0.05,0.046,0.136,0.043,1
0.455,0.455,526,1000,0.056,0.074,0.069,0.092,0.083,0.074,0.03,0.067,0.032,0.069,0.068,0.073,0.071,0.087,0.055,0
0.185,0.035,426,1000,0.571,0.143,0.019,0.005,0.004,0.024,0.002,0.005,0.027,0.167,0.025,0.001,0.002,0.005,0,1
0.505,0.135,440,1000,0.175,0.17,0.042,0.041,0.051,0.138,0.066,0.124,0.023,0.038,0.032,0.027,0.016,0.037,0.02,0
0.735,0.445,528,1000,0.017,0.066,0.046,0.044,0.075,0.032,0.038,0.092,0.074,0.075,0.151,0.071,0.072,0.074,0.073,1
0.285,0.015,163,1000,0.487,0.194,0.006,0,0.001,0.207,0.036,0.056,0.003,0.005,0.002,0.001,0.001,0.001,0,1
0.285,0.355,543,1000,0.134,0.091,0.071,0.022,0.052,0.069,0.021,0.047,0.103,0.111,0.08,0.074,0.039,0.052,0.034,1
0.675,0.485,193,1000,0.031,0.057,0.043,0.044,0.08,0.067,0.063,0.108,0.045,0.05,0.071,0.093,0.085,0.072,0.091,1
0.035,0.345,933,1000,0.262,0.175,0.013,0.002,0.007,0.163,0.172,0.154,0.005,0.016,0.007,0.004,0.008,0.007,0.005,1
0.675,0.495,555,1000,0.036,0.046,0.052,0.036,0.094,0.066,0.045,0.085,0.048,0.044,0.065,0.132,0.08,0.081,0.09,1
0.135,0.545,881,1000,0.069,0.055,0.104,0.03,0.052,0.057,0.032,0.039,0.104,0.084,0.092,0.1,0.083,0.047,0.052,0
0.325,0.715,61,1000,0.019,0.056,0.041,0.053,0.081,0.049,0.038,0.091,0.043,0.052,0.096,0.1,0.088,0.105,0.088,0
0.135,0.295,24,1000,0.293,0.113,0.06,0.007,0.019,0.1,0.022,0.039,0.124,0.055,0.052,0.065,0.014,0.015,0.022,0
0.485,0.575,937,1000,0.02,0.051,0.057,0.071,0.086,0.065,0.045,0.077,0.042,0.07,0.097,0.072,0.073,0.093,0.081,0
0.085,0.135,213,1000,0.532,0.091,0.08,0.005,0.012,0.057,0.101,0.023,0.006,0.053,0.004,0.007,0.023,0.004,0.002,0
0.685,0.375,905,1000,0.035,0.102,0.047,0.041,0.073,0.039,0.033,0.062,0.085,0.078,0.146,0.06,0.06,0.077,0.062,1
0.745,0.555,613,1000,0.009,0.05,0.048,0.037,0.099,0.04,0.041,0.078,0.061,0.079,0.12,0.087,0.087,0.08,0.084,1
0.625,0.045,488,1000,0.117,0.011,0.2,0.015,0.012,0.207,0.008,0.018,0.131,0.006,0.007,0.227,0.01,0.018,0.013,0
0.135,0.485,146,1000,0.105,0.024,0.146,0.017,0.022,0.024,0.135,0.032,0.028,0.158,0.03,0.023,0.203,0.027,0.026,1
0.225,0.095,141,1000,0.436,0.134,0.118,0.014,0.024,0.049,0.006,0.017,0.064,0.062,0.032,0.017,0.017,0.007,0.003,0
0.105,0.055,316,1000,0.677,0.049,0.081,0.006,0.002,0.044,0.04,0.003,0.006,0.073,0.002,0.005,0.009,0.002,0.001,1
0.465,0.395,318,1000,0.066,0.066,0.062,0.076,0.082,0.08,0.039,0.06,0.037,0.087,0.059,0.077,0.062,0.101,0.046,1
0.215,0.585,42,1000,0.05,0.082,0.076,0.041,0.092,0.053,0.029,0.066,0.099,0.047,0.097,0.118,0.054,0.049,0.047,0
0.475,0.585,686,1000,0.037,0.052,0.068,0.043,0.075,0.049,0.032,0.079,0.067,0.059,0.115,0.091,0.085,0.078,0.07,0
0.385,0.255,147,1000,0.163,0.124,0.061,0.027,0.043,0.096,0.025,0.072,0.077,0.061,0.069,0.072,0.035,0.041,0.034,0
0.115,0.105,688,1000,0.576,0.084,0.049,0.076,0.02,0.066,0.006,0.01,0.007,0.074,0.009,0.003,0.011,0.009,0,1
0.435,0.405,386,1000,0.069,0.074,0.078,0.09,0.09,0.079,0.033,0.051,0.037,0.068,0.062,0.078,0.054,0.082,0.055,0
0.205,0.105,95,1000,0.463,0.057,0.119,0.009,0.012,0.05,0.069,0.009,0.009,0.125,0.014,0.017,0.031,0.014,0.002,1
0.105,0.185,221,1000,0.431,0.1,0.108,0.009,0.016,0.06,0.009,0.011,0.1,0.073,0.036,0.026,0.005,0.01,0.006,0
0.685,0.125,790,1000,0.071,0.17,0.16,0.131,0.266,0.018,0.011,0.035,0.012,0.014,0.019,0.026,0.021,0.027,0.019,1
0.485,0.275,821,1000,0.105,0.07,0.105,0.066,0.087,0.044,0.036,0.044,0.04,0.107,0.057,0.05,0.077,0.068,0.044,0
0.595,0.175,870,1000,0.087,0.151,0.03,0.013,0.039,0.03,0.024,0.038,0.107,0.169,0.193,0.028,0.037,0.029,0.025,1
0.515,0.205,73,1000,0.137,0.152,0.04,0.024,0.042,0.149,0.092,0.137,0.033,0.031,0.028,0.038,0.037,0.038,0.022,1
0.205,0.005,967,1000,0.616,0.004,0.164,0.002,0,0.003,0.012,0,0.001,0.169,0,0,0.028,0.001,0,1
0.275,0.205,519,1000,0.26,0.072,0.113,0.018,0.031,0.074,0.099,0.058,0.019,0.09,0.026,0.027,0.071,0.027,0.015,1
0.465,0.645,821,1000,0.024,0.055,0.072,0.049,0.066,0.058,0.032,0.079,0.061,0.041,0.091,0.153,0.071,0.067,0.081,1
