pProb,qProb,replicate,seqLen,aaaa,aaab,aaba,aabb,aabc,abaa,abab,abac,abba,abbb,abbc,abca,abcb,abcc,abcd,label
0.595,0.505,760,1000,0.025,0.058,0.073,0.04,0.068,0.065,0.038,0.081,0.056,0.055,0.112,0.094,0.069,0.082,0.084,0
0.665,0.485,120,1000,0.028,0.071,0.043,0.043,0.083,0.05,0.038,0.073,0.056,0.055,0.122,0.092,0.073,0.089,0.084,1
0.435,0.025,686,1000,0.278,0.013,0.239,0.014,0.007,0.234,0.004,0.007,0.043,0.007,0.002,0.135,0.005,0.009,0.003,0
0.455,0.005,557,1000,0.288,0.241,0.247,0.084,0.132,0,0,0.002,0.001,0,0.001,0.001,0.001,0,0.002,1
0.085,0.425,963,1000,0.155,0.132,0.038,0.117,0.07,0.129,0.041,0.068,0.01,0.058,0.032,0.025,0.026,0.078,0.021,0
0.615,0.075,894,1000,0.144,0.02,0.191,0.015,0.026,0.012,0.093,0.016,0.01,0.186,0.04,0.021,0.189,0.024,0.013,0
0.315,0.075,579,1000,0.373,0.183,0.023,0.01,0.012,0.03,0.01,0.008,0.068,0.179,0.073,0.007,0.012,0.006,0.006,1
0.135,0.125,869,1000,0.502,0.08,0.07,0.077,0.016,0.088,0.007,0.007,0.008,0.086,0.008,0.009,0.011,0.029,0.002,1
0.325,0.555,196,1000,0.048,0.056,0.07,0.034,0.077,0.054,0.031,0.064,0.092,0.081,0.086,0.107,0.08,0.062,0.058,0
0.285,0.215,939,1000,0.239,0.1,0.077,0.022,0.032,0.117,0.105,0.076,0.013,0.063,0.031,0.035,0.043,0.033,0.014,1
0.385,0.385,339,1000,0.094,0.087,0.083,0.025,0.06,0.069,0.094,0.082,0.028,0.088,0.053,0.054,0.089,0.053,0.041,1
0.055,0.695,681,1000,0.023,0.053,0.056,0.064,0.103,0.06,0.061,0.091,0.036,0.045,0.08,0.081,0.059,0.099,0.089,0
0.615,0.675,916,1000,0.014,0.046,0.048,0.053,0.098,0.052,0.045,0.095,0.045,0.046,0.093,0.09,0.085,0.097,0.093,0
0.175,0.045,654,1000,0.577,0.033,0.132,0.007,0.006,0.026,0.008,0.002,0.037,0.131,0.012,0.006,0.014,0.008,0.001,0
0.075,0.375,9,1000,0.214,0.162,0.019,0.004,0.016,0.023,0.005,0.012,0.171,0.163,0.15,0.019,0.016,0.009,0.017,1
0.725,0.225,962,1000,0.043,0.025,0.031,0.072,0.078,0.092,0.028,0.063,0.036,0.105,0.05,0.068,0.057,0.191,0.061,0
0.245,0.165,498,1000,0.343,0.102,0.078,0.082,0.044,0.079,0.013,0.02,0.015,0.094,0.036,0.015,0.021,0.051,0.007,0
0.595,0.635,409,1000,0.018,0.049,0.05,0.047,0.09,0.046,0.054,0.09,0.048,0.046,0.092,0.089,0.113,0.081,0.087,1
0.075,0.555,474,1000,0.085,0.192,0.172,0.152,0.273,0.009,0.009,0.01,0.005,0.016,0.017,0.013,0.015,0.016,0.016,1
0.045,0.535,525,1000,0.086,0.048,0.103,0.092,0.082,0.052,0.042,0.035,0.019,0.115,0.044,0.044,0.104,0.097,0.037,0
0.565,0.195,860,1000,0.116,0.132,0.035,0.015,0.042,0.132,0.045,0.122,0.052,0.053,0.069,0.067,0.04,0.045,0.035,0
0.605,0.315,612,1000,0.052,0.038,0.122,0.034,0.072,0.094,0.027,0.063,0.082,0.039,0.06,0.143,0.055,0.063,0.056,1
0.465,0.405,365,1000,0.064,0.087,0.057,0.049,0.06,0.059,0.029,0.066,0.07,0.083,0.107,0.087,0.069,0.059,0.054,1
